Payload_size,Data_Model,Nodes,Average_Throughput
1472,5,15,0.646945
1472,5,16,0.64047
1472,5,17,0.543132
1472,5,18,0.459626
1472,5,19,0.420686
1472,5,20,0.377639
1472,5,21,0.334409
1472,5,22,1.01288
1472,5,23,0.30017
1472,5,24,0.840543
1472,5,25,0.2355
